IYR,IMO,RAILROAD,INCDTNO,IYR2,IMO2,RR2,INCDTNO2,IYR3,IMO3,RR3,INCDTNO3,DUMMY1,GXID,YEAR,MONTH,DAY,TIMEHR,TIMEMIN,AMPM,TYPE,CARS,CARSDMG,CARSHZD,EVACUATE,DIVISION,STATION,MILEPOST,STATE,TEMP,VISIBLTY,WEATHER,TRNSPD,TYPSPD,TRNNBR,TRNDIR,TONS,TYPEQ,EQATT,TRKNAME,TRKCLAS,TRKDNSTY,TYPTRK,RRCAR1,CARNBR1,POSITON1,LOADED1,RRCAR2,CARNBR2,POSITON2,LOADED2,HEADEND1,MIDMAN1,MIDREM1,RMAN1,RREM1,HEADEND2,MIDMAN2,MIDREM2,RMAN2,RREM2,LOADF1,LOADP1,EMPTYF1,EMPTYP1,CABOOSE1,LOADF2,LOADP2,EMPTYF2,EMPTYP2,CABOOSE2,EQPDMG,TRKDMG,CAUSE,CAUSE2,CASKLDRR,CASINJRR,CASKLD,CASINJ,ACCAUSE,ACCTRK,ACCTRKCL,HIGHSPD,ACCDMG,DUMMY2,STCNTY,TOTINJ,DUMMY3,TOTKLD,ENGRS,FIREMEN,CONDUCTR,BRAKEMEN,ENGHR,ENGMIN,CDTRHR,CDTRMIN,JOINTCD,REGION,DUMMY4,TYPRR,DUMMY5,RRDIV,METHOD,NARRLEN,DUMMY6,YEAR4,RREMPKLD,RREMPINJ,PASSKLD,PASSINJ,OTHERKLD,OTHERINJ,COUNTY,CNTYCD,ALCOHOL,DRUG,DUMMY7,PASSTRN,SSB1,SSB2,NARR1,NARR2,NARR3,NARR4,NARR5,NARR6,NARR7,NARR8,NARR9,NARR10,NARR11,NARR12,NARR13,NARR14,NARR15,RCL,Latitude,Longitud,SIGNAL,MOPERA,ADJUNCT1,ADJUNCT2,ADJUNCT3,SUBDIV
22,03,FEC,X13030622,22,03,BLF,20220330,22,03,FEC,X13030622,,272542J,22,03,06,5,20,PM,07,0,0,0,0,,OAKLAND PARK,337.4,12,79,2,1,000,,,2,0,,,WEST MAIN,4,2.45,1,,,000,,,,000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,890,M308,,0,0,0,1,M308,1,4,079,16326,,12C011,0,000000,0,,,,,,,,,2,3,,Cl,,,,276,,2022,0,0,0,0,0,0,BROWARD,011,,,,,CWR,000-000-000,BLF 705 WAS TRAVELING SOUTH ON THE WEST MAIN TRACK WHEN THEY OBSERVED A VEHICLE TRAVELING EAST GO AR,OUND THE DOWNED GATES AT THE CROSSING.  TRAIN STRUCK THE VEHICLE AFTER BLOWING THE HORN AND APPLYING,"THE EMERGENCY BRAKE.  DRIVER SUSTAINED INJURIES.  BLF DAMAGES WERE $15,436.",,,,,,,,,,,,,,26.170479,-80.131404,1,1,B,Q,,SYSTEM
22,03,FEC,X15031822,22,03,BLF,20220360,22,03,FEC,X15031822,,272593U,22,03,18,5,41,PM,07,0,0,0,0,,HALLANDALE,350.81,12,82,2,1,000,,,2,0,,,WEST MAIN,4,2.45,1,,,000,,,,000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18102,M308,,0,0,0,1,M308,1,4,079,45466,,12C011,0,000000,0,,,,,,,,,2,3,,Cl,,,,229,,2022,0,0,0,0,0,0,BROWARD,011,,,,,CWR,000-000-000,BLF 708 WAS TRAVELING SOUTH ON THE WEST MAIN AND STRUCK A VEHICLE THAT WENT AROUND THE DOWNED GATES,THAT WAS TRAVELING EAST OVER THE CROSSING.  DRIVER WAS TRANSPORTED TO HOSPITAL WITH INTERNAL INJURIE,"S.  BLF DAMAGES WERE $27,364.",,,,,,,,,,,,,,25.98184,-80.148074,1,1,B,Q,,SYSTEM
22,03,FEC,X16033122,22,03,BLF,20220383,22,03,FEC,X16033122,,272545E,22,03,31,3,20,PM,07,0,0,0,0,,WILTON MANOR,338.16,12,87,2,1,000,,,2,0,,,WEST MAIN,4,2.45,1,,,000,,,,000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70000,M308,,0,0,0,1,M308,1,4,060,95000,,12C011,0,000000,0,,,,,,,,,2,3,,Cl,,,,355,,2022,0,0,0,0,0,0,BROWARD,011,,,,,CWR,000-000-000,BLF 706 WAS TRAVELING SOUTH ON THE WEST MAIN TRACK AND STRUCK A LIGHT CAR CARRIER BEING TOWED BY A D,ODGE RAM PICKUP TRUCK.  THE VEHICLE WAS TRAVELING WEST AND WAS TRAPPED ON THE CROSSING BY OTHER VEHI,CLES.  A PASSENGER ON THE TRAIN COMPLAINED OF NECK PAIN AND WAS EVACUATED FROM THE TRAIN AND TRANSPO,"RTED TO THE HOSPITAL BY EMS.  BLF DAMAGES WERE $25,000.",,,,,,,,,,,,,26.159534,-80.131085,1,1,B,Q,,SYSTEM
22,01,NS,143916,,,,,22,01,ATK,ZZZZZZZZZZ,,,22,01,03,9,40,PM,01,0,0,0,0,,BALTIMORE,IP000.,24,18,4,1,008,R,23WH,1,2563,1,Y,INBOUND,2,0000,2,TTAX,553538,011,N,,,000,,2,0,0,0,0,0,0,0,0,0,6,0,38,0,0,0,0,2,0,0,7831,11207,M101,,0,0,0,0,M101,2,2,008,19038,,24C005,0,000000,0,1,0,1,0,02,10,02,10,1,2,,CL,,,,121,,2022,0,0,0,0,0,0,BALTIMORE,005,,,,N,CWR,000-000-000,"NORTHBOUND 23WH003 DEPARTING NS BALTIMORE YARD DERAILED ON THE INBOUND SWITCH AND TRAVELED 1,200 FT",ONTO AMTRAK MAIN ONE.,,,,,,,,,,,,,,0,39.292316,-76.557144,2,5,K,,,PRESIDENT ST.TK.
22,03,KAW,220304005,,,,,22,03,PROC,INDUSTRY,,,22,03,04,3,0,PM,01,0,0,0,0,,KANSAS CITY,0,20,60,2,1,004,E,KCTL,4,600,1,Y,14,1,,4,GPRX,005123,003,N,,,000,,1,0,0,0,0,0,0,0,0,0,2,0,3,0,0,1,0,2,0,0,0,15000,T110,,0,0,0,0,T110,4,1,004,15000,,20C209,0,000000,0,1,0,1,0,08,,08,,1,6,,Cl,,,,378,,2022,0,0,0,0,0,0,WYANDOTTE,209,,,,N,OTH,000-000-000,AT APPROXIMATELY 1500 ON MARCH 4TH 2022 THE KCTLY 105 WAS IN THE PROCESS OF SWITCHING OUT P&G WHEN T,HE CONDUCTOR NOTICED 3 CARS OF THE 5 THEY WERE SHOVING DERAILED IN TRK 14 @ P&G. P&G CALLED IN CRANE,MASTERS TO ASSIST IN THE RERAILING OF THE 3 CARS. NO INJURIES/NO HAZMAT. WIDE GAUGE WAS THE DETERMIN,ING FACTOR. P&G WILL BE TAKING CARE OF ALL COST ASSOCIATED WITH THIS INCIDENT.,,,,,,,,,,,,0,39.08894,-94.65306,2,5,K,,,SYSTEM
22,03,SKOL,220311006,,,,,22,03,XCJM,INDUSTRY,,,22,03,11,3,58,AM,01,0,0,0,0,,MOLINE,200.0,20,45,4,1,006,E,301,4,4290,7,Y,MOLINE,X,,4,WAMX,072110,053,Y,,,000,,2,0,0,0,0,0,0,0,0,0,30,0,35,0,0,6,0,0,0,0,11060,500,T221,T222,0,0,0,0,T221,4,X,006,11560,,20C049,0,000000,0,1,0,1,0,05,,05,,1,6,,Cl,,,,506,,2022,0,0,0,0,0,0,ELK,049,,,,N,OTH,000-000-000,109 NOTIFIED SKOL MANAGEMENT AT 0358 ON 3/11/2022 THAT THEY HAD DERAILED 6 CARS WHILE PULLING THE CR,USHER AT MOLINE.  THEY HAD SHOVED INTO THE CRUSHER WITH THEIR EMPTIES AND WERE PULLING THE LOADS.  T,"HEY WERE HANGING ON TO 30 LOADS AND 35 EMPTIES. WHEN PULLING TO HEAD OUT TO THE MAIN, THE ENGINEER N",OTICED THE TRAIN WAS PULLING HARD.  THEY STOPPED AND THE CONDUCTOR FOUND 6 CARS DERAILED AFTER A BRO,KEN RAIL.  ALL CARS THAT DERAILED ARE LOADED AND ARE ALL UPRIGHT. RJCORMEN WAS CALLED AT CUSTOMER EX,PENSE.,,,,,,,,,,0,37.358384,-96.267639,2,5,K,,,MOLINE
22,03,BNSF,KS0322101,,,,,22,03,BNSF,KS0322101,,,22,03,02,4,19,PM,01,0,0,0,0,,KANSAS CITY,6.0,20,70,2,1,010,E,YKCK,3,2530,7,Y,2053,1,0,2,BNSF,430040,020,Y,,,000,,1,0,0,0,0,0,0,0,0,0,14,0,30,0,0,4,0,0,0,0,33916,61974,M407,,0,0,0,0,M407,2,1,010,95890,,20C209,0,000000,0,0,0,1,1,,,08,20,1,6,,CL,,,,221,,2022,0,0,0,0,0,0,WYANDOTTE,209,,,,N,OTH,000-000-000,RCO Y-KCK1022-01 DERAILED 4 RAILCARS IN YARD TRACK 2053 DURING HUMP OPERATIONS DUE TO AUTOMATIC HUMP,RETARDER FAILURE TO SUFFICIENTLY SLOW RAILCARS DUE TO FOREIGN MATERIAL ON WHEELS.  NO HAZARDOUS MAT,ERIALS WERE RELEASED.,,,,,,,,,,,,,3,39.085044,-94.685996,2,5,K,,,EMPORIA
22,03,BNSF,KS0322105,,,,,22,03,BNSF,KS0322105,,,22,03,08,3,20,AM,01,0,0,0,0,,KANSAS CITY,6.3,20,30,4,1,002,E,YKCK,3,1914,7,Y,2035,1,0,2,TTGX,941293,034,Y,,,000,,1,0,0,0,0,0,0,0,0,0,11,0,29,0,0,1,0,1,0,0,3034,8680,M411,,0,0,0,0,M411,2,1,002,11714,,20C209,0,000000,0,0,0,1,1,,,04,50,1,6,,CL,,,,129,,2022,0,0,0,0,0,0,WYANDOTTE,209,,,,N,OTH,000-000-000,CREW HUMPED CARS INTO THE BOWL AND BYPASSED DRAWBARS RESULTED IN 2 RAILCARS DERAILING DUE TO PASSED,COUPLERS. NO HAZMAT RELEASED.,,,,,,,,,,,,,,3,39.085469,-94.69081,2,5,K,,,EMPORIA
22,05,ATK,170819,,,,,22,05,ATK,170819,,545178F,22,05,30,8,56,PM,07,0,0,0,0,,INKSTER,0013.1,26,83,3,1,078,E,352,3,0,2,Y,SINGLE MAIN TRACK,6,,1,AMT,004613,001,Y,,,000,,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,16519,0,M402,,0,2,0,2,M402,1,6,078,16519,,26C163,2,000000,0,1,0,1,1,10,10,10,10,1,4,,No,,,,266,,2022,0,0,0,0,0,2,WAYNE,163,,,,Y,CWR,,"GRADE CROSSING: TRAIN 352(30) OPERATING WITH ENGINE ID4613 AND 5 CARS, STRUCK AN OCCUPIED VEHICLE AT","JOHN DALY RD (DOT #545178F)/MP13.1, ON THE MICHIGAN LINE, 3 MILES WEST OF THE DEARBORN STATION, IN",WAYNE COUNTY. THE CROSSING IS PROTECTED BY ACTIVE WARNING DEVICES.,,,,,,,,,,,,,0,42.292569,-83.300174,1,1,D,J,Q,SOSS
22,04,GDLK,220411006,,,,,22,04,GTW,1108173,,,22,04,11,3,40,PM,12,6,3,0,0,,KALAMAZOO,1.5,26,45,2,1,005,R,GDLK,4,1040,7,Y,AK14,1,,4,UTLX,666588,003,Y,,,000,,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,120500,0,H021,,0,0,0,0,H021,4,1,005,170500,,26C077,0,000000,0,1,0,1,1,05,40,05,40,1,4,,Cl,,,,180,,2022,0,0,0,0,0,0,KALAMAZOO,077,,,,N,OTH,000-000-000,GDLK 105-11 WAS SHOVING WEST INTO AK14 WITH 6 CARS WHEN A CAR THAT WAS LEFT ON THE MAIN ROLLED EAST,AND SIDESWIPED 2 TANK CARS AND A LOCOMOTIVE. NO INJURIES AND NO HAZMAT RELEASED.,,,,,,,,,,,,,,0,42.272279,-85.548652,2,5,,,,SOUTH BEND
