Year,Month,C_Precip,C_Tmax,C_Tmin,R_Precip,R_Tmax,R_Tmin
1949,1,5.22,52.1,34.2,3.35,54.61,35.9
1949,2,1.6,53.86,34.61,2.55,57.18,35.79
1949,3,2.74,58.78,37.89,2.12,60.58,36.74
1949,4,2.54,66.13,44.4,2.22,67.07,44.33
1949,5,4.68,76.68,54.71,5.11,77.84,54.06
1949,6,2.92,84.63,63.93,3.53,85.67,64.8
1949,7,4.5,87.68,69.84,6.34,88.97,71.19
1949,8,10.65,84.71,66.29,8.99,85.71,67.45
1949,9,3.21,76.5,55.53,2.64,78.03,56.83
1949,10,2.79,71.32,53.29,3.87,72.68,52.32
1949,11,0.91,59.53,38.7,1.88,61.03,36.93
1949,12,2.16,49.58,31.26,1.94,53.55,31.23
1950,1,1.31,55.81,35.9,2.17,60.48,38.87
1950,2,3.01,46.39,29.54,1.71,50.39,30.86
1950,3,3.04,53.23,31.19,3.2,56.13,32.65
1950,4,1.39,65.6,41.5,0.74,67.1,42.27
1950,5,5.42,74.81,55.1,4.27,75.23,54.71
1950,6,2.12,83.27,62.73,0.99,86.1,62.27
1950,7,5.64,83.61,65.13,6.69,86.29,67.19
1950,8,1.19,84.94,64.03,3.32,85.87,65
1950,9,10.57,75.83,57.6,4.04,77,59.3
1950,10,3.31,69.61,50.27,1.77,71.77,50.45
1950,11,1.61,57.53,36.37,1.74,59.13,35.47
1950,12,4.46,42.48,26.1,2.73,45.26,26.9
1951,1,1.64,49.1,28.39,1.08,51.61,30.1
1951,2,3.4,47.61,29.79,1.9,52.71,29.75
1951,3,4.62,54.61,35.39,2.85,56.97,36.52
1951,4,4.84,66.83,45.3,2.26,69.23,44
1951,5,2.09,76.58,53.87,2.51,76.9,52.23
1951,6,7.19,83.53,62.57,5.85,85,63.53
1951,7,3.91,88.03,66.61,2.63,89.26,67.81
1951,8,2.26,87.03,64.81,5.23,85.77,66.06
1951,9,1.55,81.77,58.83,0.98,81.07,58.8
1951,10,1.63,71.45,52.29,2.71,71.68,51.42
1951,11,4.92,53.27,33,4.52,56,33.96
1951,12,5.44,49.65,30.32,-999,46.87,27.48
1952,1,5.03,49.74,31.9,5.71,52.13,32.74
1952,2,3.21,49.86,31.55,2.76,51.97,32.34
1952,3,6.55,55.65,34.71,5.05,57.45,35.1
1952,4,6,66.6,47.43,5.32,69.1,47.03
1952,5,5.49,76.61,54.13,3.72,76.94,53.77
1952,6,2.65,87.43,66.7,4.5,89.8,65.4
1952,7,4.47,89.48,68.39,2.71,91.84,68.87
1952,8,3.69,85.32,65.39,6.41,86.26,66.45
1952,9,3.96,79,58.2,2.35,80.07,58.27
1952,10,1.44,67.87,45.48,2.04,67.81,42.58
1952,11,6.35,58.67,41.07,6.42,60.2,38.57
1952,12,2.6,46.16,30.68,3.37,48.55,29.94
