Price,Platform,Develop,X5Star,CompSites,Date,Advert,Users
4,iPhone,138,10,3000,-103,1,0.3
11,iPhone,52,4,0,-103,1,2.5
2,Droid,16,0,2640,-98,0,10.3
5,Droid,695,1,3500,-93,1,14
5,Droid,845,1,1000,-92,0,14
3,iPhone,7,2,10000,-86,1,0
6,iPhone,106,4,0,-68,1,0
6,iPhone,57,4,0,-64,1,0
19,iPhone,51,20,1300,-63,1,1.2
3,iPhone,22,0,6000,-62,1,0
5,iPhone,22,0,6000,-61,1,0
7,iPhone,28,3,4500,-60,1,0
8,iPhone,19,5,5000,-59,1,0.5
12,iPhone,70,8,0,-59,1,4.4
19,iPhone,146,10,0,-59,1,4.2
12,iPhone,77,9,0,-59,1,4.5
13,iPhone,26,8,0,-59,1,4.7
15,iPhone,102,6,0,-59,1,4.9
12,iPhone,50,11,0,-59,1,4.6
15,iPhone,12,8,0,-59,1,5
12,Droid,321,0,4000,-54,1,16.5
18,iPhone,10,5,0,-54,1,5.2
17,iPhone,15,2,0,-53,1,5.5
6,Droid,55,0,1320,-49,0,11.9
4,Droid,116,2,900,-45,0,5.5
37,Droid,15,5,0,-39,1,7.2
18,Droid,23,5,4420,-39,1,5.5
15,Droid,133,2,2640,-35,1,10.2
23,Droid,12,5,3400,-16,1,5.5
15,Droid,67,2,900,-5,0,5.5
22,Droid,31,2,900,-4,1,5.5
