year,sunspotarea
1875,213.1333333
1876,109.2833333
1877,92.85833333
1878,22.21666667
1879,36.33333333
1880,446.75
1881,679.4916667
1882,968.025
1883,1148.908333
1884,1034.125
1885,810.2083333
1886,379.4083333
1887,177.2583333
1888,87.925
1889,76.69166667
1890,98.76666667
1891,566.4416667
1892,1211.275
1893,1460.625
1894,1281.541667
1895,973.4333333
1896,547.3916667
1897,511.65
1898,374.6583333
1899,109.9833333
1900,74.30833333
1901,27.85833333
1902,59.475
1903,338.6
1904,488.175
1905,1195.883333
1906,774.9833333
1907,1092.108333
1908,697.4833333
1909,691.525
1910,266.0083333
1911,64.40833333
1912,37.33333333
1913,7.525
1914,152.3833333
1915,697.7666667
1916,725.4583333
1917,1533.925
1918,1112.566667
1919,1054.683333
1920,617.2583333
1921,419.6166667
1922,251.9583333
1923,54.65833333
1924,278.0083333
1925,825.075
1926,1263.15
1927,1060.8
1928,1388.916667
1929,1238.916667
1930,516.6083333
1931,279.0666667
1932,163.15
1933,91.25
1934,118.225
1935,622.075
1936,1140.841667
1937,2072.775
1938,2015.233333
1939,1576.833333
1940,1037.166667
1941,658.125
1942,427.3333333
1943,296.7666667
1944,124.65
1945,426.5
1946,1823.9
1947,2634.05
1948,1974.6
1949,2139.991667
1950,1227.341667
1951,1135.258333
1952,402.85
1953,145.1
1954,34.64166667
1955,552.35
1956,2394.691667
1957,3048.475
1958,3011.266667
1959,2872.941667
1960,1641.216667
1961,613.5
1962,463.5166667
1963,287.8333333
1964,53.90833333
1965,113.3083333
1966,592.5583333
1967,1519.141667
1968,1569.758333
1969,1450.133333
1970,1601.258333
1971,990.2
1972,916.7
1973,457.55
1974,398.8583333
1975,166.4083333
1976,169.775
1977,347.0416667
1978,1368.516667
1979,2194.525
1980,2160.716667
1981,2270.241667
1982,2283.3
1983,944
1984,811.3166667
1985,180.15
1986,124.7
1987,296.8166667
1988,1345.266667
1989,2579.225
1990,2048.683333
1991,2470.183333
1992,1349.208333
1993,696.2
1994,340.3916667
1995,159.6333333
1996,81.9
1997,210.2416667
1998,763.075
1999,1162.008333
2000,1614.216667
2001,1704.091667
2002,1828.733333
2003,1099.241667
2004,683.775
2005,542.575
2006,245.1083333
2007,133.3416667
2008,22.80833333
2009,26.55833333
2010,214.2916667
2011,749.5666667
2012,796.8833333
2013,860.775
2014,1252.15
2015,618.8083333
