IYR,IMO,RAILROAD,INCDTNO,IYR2,IMO2,RR2,INCDTNO2,IYR3,IMO3,RR3,INCDTNO3,DUMMY1,GXID,YEAR,MONTH,DAY,TIMEHR,TIMEMIN,AMPM,TYPE,CARS,CARSDMG,CARSHZD,EVACUATE,DIVISION,STATION,MILEPOST,STATE,TEMP,VISIBLTY,WEATHER,TRNSPD,TYPSPD,TRNNBR,TRNDIR,TONS,TYPEQ,EQATT,TRKNAME,TRKCLAS,TRKDNSTY,TYPTRK,RRCAR1,CARNBR1,POSITON1,LOADED1,RRCAR2,CARNBR2,POSITON2,LOADED2,HEADEND1,MIDMAN1,MIDREM1,RMAN1,RREM1,HEADEND2,MIDMAN2,MIDREM2,RMAN2,RREM2,LOADF1,LOADP1,EMPTYF1,EMPTYP1,CABOOSE1,LOADF2,LOADP2,EMPTYF2,EMPTYP2,CABOOSE2,EQPDMG,TRKDMG,CAUSE,CAUSE2,CASKLDRR,CASINJRR,CASKLD,CASINJ,ACCAUSE,ACCTRK,ACCTRKCL,HIGHSPD,ACCDMG,DUMMY2,STCNTY,TOTINJ,DUMMY3,TOTKLD,ENGRS,FIREMEN,CONDUCTR,BRAKEMEN,ENGHR,ENGMIN,CDTRHR,CDTRMIN,JOINTCD,REGION,DUMMY4,TYPRR,DUMMY5,RRDIV,METHOD,NARRLEN,DUMMY6,YEAR4,RREMPKLD,RREMPINJ,PASSKLD,PASSINJ,OTHERKLD,OTHERINJ,COUNTY,CNTYCD,ALCOHOL,DRUG,DUMMY7,PASSTRN,SSB1,SSB2,NARR1,NARR2,NARR3,NARR4,NARR5,NARR6,NARR7,NARR8,NARR9,NARR10,NARR11,NARR12,NARR13,NARR14,NARR15,RCL,Latitude,Longitud,SIGNAL,MOPERA,ADJUNCT1,ADJUNCT2,ADJUNCT3,SUBDIV
20,01,BNSF,CA0120117,,,,,20,01,BNSF,CA0120117,,,20,01,29,2,40,PM,01,0,0,0,0,,SAN BERNARDINO,81.9,06,60,2,1,008,E,QCHI,3,1880,1,Y,224,1,,2,BNSF,254006,013,Y,,,000,,4,0,0,0,0,0,0,0,0,0,13,0,0,0,0,2,0,0,0,0,16400,0,H307,H702,0,0,0,0,H307,2,1,008,16400,,06C071,0,000000,0,1,0,1,0,09,20,09,20,1,7,,CL,,,,186,,2020,0,0,0,0,0,0,SAN BERNARDINO,071,,,,N,OTH,000-000-000,Q-CHISBD7-26 DERAILED 2 RAILCARS WHILE SHOVING YARD TRACK 224 DUE TO FAILURE TO CONTROL SHOVE MOVE I,N TURN RUNNING THROUGH AN IMPROPERLY LINED SWITCH. NO HAZARDOUS MATERIAL WAS RELEASED.,,,,,,,,,,,,,,0,34.105529,-117.320122,2,5,K,,,SAN BERNARDINO
20,01,GOOS,20201,,,,,20,01,GOOS,20201,,,20,01,09,1,30,PM,01,0,0,0,0,,ALTURAS,495,06,30,2,2,000,R,LVAT,4,1622,1,Y,GOOSE MAIN,X,160639,1,TTZX,085213,012,Y,,,000,,1,0,0,0,0,0,0,0,0,0,15,0,1,0,0,5,0,0,0,0,90000,60000,T220,T105,0,0,0,0,T220,1,X,000,150000,,06C049,0,000000,0,1,0,1,0,06,30,06,30,1,7,,Cl,,,,21,,2020,0,0,0,0,0,0,MODOC,049,,,,N,OTH,000-000-000,RAIL BROKE UNDER LOAD,,,,,,,,,,,,,,,0,41.94845,-120.33062,2,4,,,,GOOSE
20,04,ATK,164314,,,,,20,04,ATK,164314,,,20,04,29,5,35,AM,01,0,0,0,0,,OAKLAND,0005.8,06,52,1,2,005,E,522,2,0,7,Y,LEAD,1,,2,CDTX,008309,006,N,,,000,,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,14642,0,H702,,0,0,0,0,H702,2,1,005,14642,,06C001,0,000000,0,1,0,1,1,01,20,01,20,1,7,,No,,,,295,,2020,0,0,0,0,0,0,ALAMEDA,001,,,,N,CWR,,TRAIN 522 WITH LOCOMOTIVE E/2010 AND 5 CARS DERAILED AFTER DEPARTING THE OAKLAND YARD AT MP 5.8.  TH,E REAR TRUCK OF THE REAR CAR C/8309 WAS REPORTED ON THE GROUND AS THE CAR REMAINED UPRIGHT.  THE DER,AILMENT WAS CAUSED BY FAILING TO ALIGN THE SWITCH CORRECTLY.  THERE WERE NO INJURIES TO REPORT.,,,,,,,,,,,,,0,37.79923,-122.28818,2,5,L,,,SOSS
20,04,ATK,164328,,,,,20,04,UP,0420LA038,,745387R,20,04,29,2,47,PM,07,0,0,0,0,,GUADALUPE,0271.7,06,73,2,1,037,E,14,1,0,2,Y,SINGLE MAIN,4,,1,AMT,000130,001,,,,000,,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,25583,0,M302,,0,0,0,0,M302,1,4,037,25682,,06C083,0,000000,0,1,0,1,1,05,47,05,47,1,7,,No,,,,205,,2020,0,0,0,0,0,0,SANTA BARBARA,083,,,,Y,CWR,,"TRAIN 14 WITH CAMERA-EQUIPPED LOCOMOTIVE E/130 STRUCK AN OCCUPIED FARM VEHICLE AT MP 271.7, THORNBER","RY RD, A PRIVATE CROSSING.  THE DRIVER OF THE VEHICLE WAS NOT INJURED. DRIVER AGE AND GENDER ARE UNK",NOWN.,,,,,,,,,,,,,0,34.982621,-120.565876,1,2,P,,,SANTA BARBARA
20,08,UP,0820PR012,,,,,20,08,UP,0820PR012,,,20,08,20,11,55,PM,12,0,0,0,0,,CHICAGO,2.53,17,74,4,2,000,E,YG16,4,576,7,Y,YARD 106,X,,2,TTAX,355085,013,N,,,000,,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,1,0,0,4848,0,H307,,0,0,0,0,H307,2,X,006,14134,,17C031,0,000000,0,1,0,0,0,,25,,,1,4,,CL,,,,144,,2020,0,0,0,0,0,0,COOK,031,,,,N,OTH,000-000-000,"THE ZSCG1-19 SHOVED INTO THE YG167R-20, THAT WAS SHOVING WETWARD AND LINED INTO TRACK 109, CAUSING D",AMGE TO 3 CARS AND DERAILNG 1 SET OF TRUCKS.,,,,,,,,,,,,,,3,41.86178,-87.682336,2,5,K,L,,ROCKWELL SUB
20,11,CSX,000193674,,,,,20,11,CSX,000193674,,,20,11,07,10,27,AM,04,0,0,0,0,,INDIANAPOLIS,0009.0,18,65,2,1,007,E,Y195,3,0,8,Y,NORTH PULLER,1,0000.0,2,CSXT,008480,001,Y,,,000,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5589,0,H607,,0,0,0,0,H607,2,1,007,58390,,18C097,0,000000,0,1,0,0,0,03,57,,,1,4,,CL,,,,120,,2020,0,0,0,0,0,0,MARION,097,00,00,,N,OTH,000-000-000,EMPLOYEE FAILED TO FOLLOW THE YARDMASTER INSTRUCTIONS AND CAME OUT ON THE LADDER AND STRUCK THE Y197,07 DERAILING 5 CARS.,,,,,,,,,,,,,,1,39.759791,-86.327526,2,5,,,,INDIANAPOLIS TERMINA
20,03,BNSF,KS0320115,,,,,20,03,BNSF,KS0320115,,,20,03,15,5,36,PM,01,0,0,0,0,,LAMAR,505.8,08,46,3,2,039,R,GCOK,4,16357,1,Y,SINGLE MAIN TRACK,5,7.46,1,BNSF,472945,030,Y,,,000,,2,0,0,0,2,0,0,0,0,2,116,0,0,0,0,3,0,0,0,0,214233,253450,T108,,0,0,0,0,T108,1,5,039,467683,,08C099,0,000000,0,1,0,1,0,06,36,06,36,1,6,,CL,,,,194,,2020,0,0,0,0,0,0,PROWERS,099,,,,N,CWR,000-000-000,G-COKKAL9-15 DERAILED 3 RAILCARS AND 2 DP LOCOMOTIVES WHILE TRAVERSING SINGLE MAIN TRACK DUE TO TRAC,K ALIGNMENT IRREGULAR OTHER THAN THERMAL MISALIGNMENT.   NO HAZARDOUS MATERIALS WERE RELEASED.,,,,,,,,,,,,,,0,38.086776,-102.682365,1,2,P,D,,LA JUNTA
20,11,BNSF,PR1120109,,,,,20,11,XPLR,INDUSTRY,,,20,11,27,9,58,PM,02,0,0,0,0,,WELLINGTON,97.0,08,32,4,1,000,E,CATM,4,1943,6,N,4001,1,0,4,RAWX,001002,001,N,,,000,,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,5,0,0,211160,0,E10L,,0,1,0,1,E10L,4,1,035,329160,,08C069,0,000000,0,0,0,0,0,,,,,1,6,,CL,,,,345,,2020,0,0,0,0,0,0,LARIMER,069,,,,N,OTH,000-000-000,C-ATMNPG0-17 IMPACTED A STANDING CUT OF RAILCARS WHILE OPERATING LIGHT POWER IN INDUSTRY TRACK 4001,DUE TO COMPUTER CONTROLLED BRAKE COMMUNICATION FAILURE.  RESULTED IN 4 LOCOMOTIVES AND 5 RAILCARS DE,RAILED.  NO HAZARDOUS MATERIALS WERE RELEASED.  DUE TO THE COMPUTER CONTROLLED BRAKES FAILURE THE EN,GINEER COULD NOT CONTROL THE SPEED OF 35 MPH.,,,,,,,,,,,,0,40.869876,-105.016264,2,5,K,,,FRONT RANGE
20,11,BNSF,PR1120109,,,,,20,11,XPLR,INDUSTRY,,,20,11,27,9,58,PM,02,0,0,0,0,,WELLINGTON,97.0,08,32,4,1,035,E,CATM,4,0,8,Y,4001,1,0,4,BNSF,005808,001,,BNSF,005808,001,,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118000,0,E10L,,0,0,0,1,E10L,4,1,035,329160,,08C069,1,000000,0,1,0,1,0,10,28,10,28,3,6,,CL,,,,246,,2020,0,1,0,0,0,0,LARIMER,069,,,,N,OTH,,C-ATMNPG0-17 IMPACTED A STANDING CUT OF RAILCARS WHILE OPERATING LIGHT POWER IN INDUSTRY TRACK 4001,DUE TO COMPUTER CONTROLLED BRAKE COMMUNICATION FAILURE.  RESULTED IN 4 LOCOMOTIVES AND 5 RAILCARS DE,RAILED.  NO HAZARDOUS MATERIALS WERE RELEASED.,,,,,,,,,,,,,0,40.869876,-105.016264,2,5,K,,,FRONT RANGE
20,10,DCR,201031DCR,20,10,DCR,201031DCR,20,10,DCR,201031DCR,,,20,10,31,4,0,PM,12,0,0,0,0,,HARRINGTON,DM 66.,10,64,2,1,010,R,HA-0,4,1755,6,Y,SOUTHWARD,1,1.4,2,CSYX,012946,002,N,,,000,,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,70150,0,H318,,0,0,0,0,H318,2,1,010,70150,,10C001,0,000000,0,1,0,1,0,06,,06,,1,2,,Cl,,,,129,,2020,0,0,0,0,0,0,KENT,001,00,00,,N,CWR,000-000-000,HA-01 SWITCHING AT THE SOUTH END OF HARRINGTON YARD DAMAGING CARS CEFX 10956 AND CSYX 12946 AS A RES,ULT OF A HIGH SPEED COUPLING.,,,,,,,,,,,,,,0,38.89819,-75.576504,2,5,,,,DELMARVA SEC
